Cycle start time,Cycle end time,Cycle timezone,Sleep onset,Wake onset,Sleep performance %,Respiratory rate (rpm),Asleep duration (min),In bed duration (min),Light sleep duration (min),Deep (SWS) duration (min),REM duration (min),Awake duration (min),Sleep need (min),Sleep debt (min),Sleep efficiency %,Sleep consistency %,Nap
2024-10-23 00:33:55,,UTC+01:00,2024-10-23 00:33:55,2024-10-23 08:36:02,98,14.5,460,482,276,102,82,22,470,11,95,71,false
2024-10-22 01:34:30,2024-10-23 00:33:55,UTC+01:00,2024-10-22 01:34:30,2024-10-22 08:12:58,94,14.0,369,386,128,107,134,17,391,0,95,59,false
2024-10-21 00:34:22,2024-10-22 01:34:30,UTC+01:00,2024-10-21 20:44:11,2024-10-21 21:56:17,15,15.3,69,72,38,9,22,3,461,0,100,,true
2024-10-21 00:34:22,2024-10-22 01:34:30,UTC+01:00,2024-10-21 00:34:22,2024-10-21 08:51:22,100,14.3,477,493,255,68,154,16,459,0,97,72,false
2024-10-20 00:40:05,2024-10-21 00:34:22,UTC+01:00,2024-10-20 00:40:05,2024-10-20 11:21:17,100,14.1,486,641,238,107,141,155,458,0,76,66,false
2024-10-19 01:26:00,2024-10-20 00:40:05,UTC+01:00,2024-10-19 01:26:00,2024-10-19 10:55:36,100,13.8,549,568,271,117,161,19,529,31,96,55,false
2024-10-18 00:45:06,2024-10-19 01:26:00,UTC+01:00,2024-10-18 00:45:06,2024-10-18 08:13:05,87,13.9,428,445,234,103,91,17,491,18,96,76,false
2024-10-17 00:41:03,2024-10-18 00:45:06,UTC+01:00,2024-10-17 00:41:03,2024-10-17 07:42:36,92,13.6,401,421,226,95,80,20,437,58,96,57,false
2024-10-16 00:43:02,2024-10-17 00:41:03,UTC+01:00,2024-10-16 16:30:00,2024-10-16 18:25:00,20,13.5,102,115,90,12,0,13,523,58,91,,true
2024-10-16 00:43:02,2024-10-17 00:41:03,UTC+01:00,2024-10-16 00:43:02,2024-10-16 06:54:35,75,14.1,353,371,180,69,104,18,471,0,97,88,false
