Cycle start time,Cycle end time,Cycle timezone,Workout start time,Workout end time,Duration (min),Activity name,Activity Strain,Energy burned (cal),Max HR (bpm),Average HR (bpm),HR Zone 1 %,HR Zone 2 %,HR Zone 3 %,HR Zone 4 %,HR Zone 5 %,GPS enabled,Distance (meters),Altitude gain (meters),Altitude change (meters)
2024-10-21 00:34:22,2024-10-22 01:34:30,UTC+01:00,2024-10-21 15:25:30,2024-10-21 16:11:59,46,Walking,5.3,143.0,136,100,46,25,0,0,0,false,,,
2024-10-20 00:40:05,2024-10-21 00:34:22,UTC+01:00,2024-10-20 20:34:30,2024-10-20 21:01:29,26,Walking,4.5,57.0,129,96,75,6,0,0,0,false,,,
2024-10-19 01:26:00,2024-10-20 00:40:05,UTC+01:00,2024-10-19 22:30:00,2024-10-19 22:59:25,29,Activity,4.5,64.0,134,92,51,12,0,0,0,false,,,
2024-10-19 01:26:00,2024-10-20 00:40:05,UTC+01:00,2024-10-19 21:58:30,2024-10-19 22:16:29,17,Walking,4.3,36.0,126,95,59,11,0,0,0,false,,,
2024-10-19 01:26:00,2024-10-20 00:40:05,UTC+01:00,2024-10-19 19:57:00,2024-10-19 20:14:59,17,Walking,4.7,71.0,149,104,36,30,14,0,0,false,,,
2024-10-18 00:45:06,2024-10-19 01:26:00,UTC+01:00,2024-10-18 19:27:00,2024-10-18 20:32:59,65,Rugby,10.1,467.0,178,122,19,29,42,8,0,false,,,
2024-10-17 00:41:03,2024-10-18 00:45:06,UTC+01:00,2024-10-17 21:38:00,2024-10-17 22:18:00,40,Cycling,5.8,171.0,131,107,48,45,0,0,0,false,,,
2024-10-17 00:41:03,2024-10-18 00:45:06,UTC+01:00,2024-10-17 07:45:00,2024-10-17 08:05:00,20,Cycling,4.9,89.0,136,107,30,58,1,0,0,false,,,
2024-10-16 00:43:02,2024-10-17 00:41:03,UTC+01:00,2024-10-16 21:15:00,2024-10-16 21:19:00,4,HIIT,4.1,13.0,126,104,74,24,0,0,0,false,,,
2024-10-16 00:43:02,2024-10-17 00:41:03,UTC+01:00,2024-10-16 20:20:00,2024-10-16 21:00:00,40,Strength Trainer,10.6,86.0,134,89,30,12,0,0,0,false,,,
2024-10-15 00:32:11,2024-10-16 00:43:02,UTC+01:00,2024-10-15 20:42:00,2024-10-15 21:00:50,18,Activity,7.7,199.0,163,137,6,20,43,31,0,false,,,
2024-10-15 00:32:11,2024-10-16 00:43:02,UTC+01:00,2024-10-15 10:59:00,2024-10-15 11:29:00,30,Cycling,5.2,125.0,140,104,34,43,4,0,0,false,,,
2024-10-14 00:45:26,2024-10-15 00:32:11,UTC+01:00,2024-10-14 21:18:00,2024-10-14 21:35:43,17,Activity,6.3,145.0,168,125,10,23,52,11,0,false,,,
2024-10-04 01:05:28,2024-10-05 00:25:58,UTC+01:00,2024-10-04 19:52:30,2024-10-04 20:08:59,16,Activity,4.4,50.0,148,97,42,23,3,0,0,false,,,
2024-10-03 00:28:09,2024-10-04 01:05:28,UTC+01:00,2024-10-03 17:40:30,2024-10-03 18:26:59,46,Running,12.1,524.0,175,141,0,11,56,32,0,false,,,
2024-10-02 00:22:37,2024-10-03 00:28:09,UTC+01:00,2024-10-02 21:27:00,2024-10-02 22:07:00,40,Cycling,5.8,177.0,125,107,52,40,0,0,0,false,,,
2024-10-02 00:22:37,2024-10-03 00:28:09,UTC+01:00,2024-10-02 07:48:24,2024-10-02 08:08:00,19,Cycling,5.0,89.0,162,108,35,40,8,3,0,false,,,
2024-10-01 00:16:10,2024-10-02 00:22:37,UTC+01:00,2024-10-01 19:21:00,2024-10-01 20:38:59,77,Rugby,10.7,495.0,182,116,25,25,30,10,1,false,,,
